# TUM trajectory format
# timestamp tx ty tz qx qy qz qw
# Note: Orientation is identity quaternion (0,0,0,1) as GPS only provides position
1698132949.012234449 0.000000 0.000000 0.000000 0.0 0.0 0.0 1.0
1698132949.030942678 -0.000355 0.000507 0.000214 0.0 0.0 0.0 1.0
1698132949.050466299 -0.000738 0.001092 -0.000008 0.0 0.0 0.0 1.0
1698132949.071785212 -0.003104 0.005452 0.000181 0.0 0.0 0.0 1.0
1698132949.091151476 -0.003502 0.005928 -0.000013 0.0 0.0 0.0 1.0
1698132949.113624096 -0.003890 0.006328 0.000158 0.0 0.0 0.0 1.0
1698132949.131390095 -0.004276 0.006732 0.000338 0.0 0.0 0.0 1.0
1698132949.150716305 -0.004657 0.007180 0.000191 0.0 0.0 0.0 1.0
1698132949.171206474 -0.005012 0.007654 0.000156 0.0 0.0 0.0 1.0
1698132949.190784931 -0.005516 0.007840 -0.000017 0.0 0.0 0.0 1.0
1698132949.212142229 -0.006012 0.008025 0.000164 0.0 0.0 0.0 1.0
1698132949.230544329 -0.006510 0.008223 0.000347 0.0 0.0 0.0 1.0
1698132949.251248121 -0.007033 0.008449 0.000149 0.0 0.0 0.0 1.0
1698132949.270586252 -0.007565 0.008728 0.000328 0.0 0.0 0.0 1.0
1698132949.291148901 -0.008093 0.009056 0.000210 0.0 0.0 0.0 1.0
1698132949.313449621 -0.008614 0.009375 0.000378 0.0 0.0 0.0 1.0
1698132949.330991030 -0.009131 0.009594 0.000546 0.0 0.0 0.0 1.0
1698132949.350585699 -0.009665 0.009680 0.000353 0.0 0.0 0.0 1.0
1698132949.370998859 -0.010148 0.009718 0.001732 0.0 0.0 0.0 1.0
1698132949.390542030 -0.010196 0.009822 0.001560 0.0 0.0 0.0 1.0
1698132949.412208080 -0.010224 0.010058 0.001726 0.0 0.0 0.0 1.0
1698132949.430777550 -0.010591 0.011721 0.001894 0.0 0.0 0.0 1.0
1698132949.451426506 -0.010597 0.012083 0.001787 0.0 0.0 0.0 1.0
1698132949.470944405 -0.010634 0.012362 0.001944 0.0 0.0 0.0 1.0
1698132949.490374804 -0.010690 0.012524 0.001755 0.0 0.0 0.0 1.0
1698132949.513906717 -0.010742 0.012626 0.001896 0.0 0.0 0.0 1.0
1698132949.530478239 -0.010788 0.012750 0.002045 0.0 0.0 0.0 1.0
1698132949.550778627 -0.010834 0.012959 0.001907 0.0 0.0 0.0 1.0
1698132949.571200848 -0.010823 0.013203 0.003149 0.0 0.0 0.0 1.0
1698132949.590718031 -0.010754 0.013417 0.002998 0.0 0.0 0.0 1.0
1698132949.612420559 -0.010691 0.013584 0.003139 0.0 0.0 0.0 1.0
1698132949.631031275 -0.010637 0.013671 0.003277 0.0 0.0 0.0 1.0
1698132949.651350737 -0.010598 0.013713 0.003120 0.0 0.0 0.0 1.0
1698132949.670766592 -0.010565 0.013779 0.003254 0.0 0.0 0.0 1.0
1698132949.691239119 -0.010520 0.013911 0.003159 0.0 0.0 0.0 1.0
1698132949.713825464 -0.010462 0.014102 0.003296 0.0 0.0 0.0 1.0
